DATE,DDSM01USA066NWDB
1990-01-01,14.15838
1991-01-01,16.071579999999997
1992-01-01,12.99575
1993-01-01,9.947115
1994-01-01,9.037936
1995-01-01,9.112103
1996-01-01,9.708464999999999
1997-01-01,12.84862
1998-01-01,17.8729
1999-01-01,20.8425
2000-01-01,20.4894
2001-01-01,22.02605
2002-01-01,22.14433
2003-01-01,24.82656
2004-01-01,16.152639999999998
2005-01-01,11.09516
2006-01-01,10.47655
2007-01-01,11.288739999999999
2008-01-01,20.25543
2009-01-01,39.42953
2010-01-01,27.34565
2011-01-01,18.4304
2012-01-01,21.05726
2013-01-01,14.24862
2014-01-01,11.30605
2015-01-01,12.45613
2016-01-01,15.7087
2017-01-01,11.15429
2018-01-01,11.01075
2019-01-01,15.484620000000001
2020-01-01,26.7026
